id,miejscowosc,ulica,numer_domu,kod_pocztowy
1,Trzyciąż,ul. Leśna,14,32-353
2,Niechanowo,ul. Ogrodowa,4,62-220
3,Jedlnia-Letnisko,ul. Słoneczna,5,26-630
4,Słupica,,84,26-630
5,Gryfice,ul. Cukrownicza,2,72-300
6,Busko-Zdrój,al. Adama Mickiewicza,13,28-100
7,Gilowice,ul. Wojciecha Korfantego,38,43-227
8,Zamość,ul. Okopowa,1,22-400
9,Zamość,ul. Oboźna,10,22-400
10,Zamość,ul. Lwowska,17,22-400
11,Tomaszów Lubelski,ul. Chocimska,17,22-600
12,Zamość,ul. Kamienna,6,22-400
13,Szczekociny,ul. Śląska,86,42-445
14,Wejherowo,ul. Obrońców Wybrzeża,1,84-200
15,Oświęcim,ul. Stanisławy Leszczyńskiej,7,32-600
16,Piła,ul. Roosevelta,38A,64-920
17,Piła,ul. Wincentego Pola,16,64-920
18,Piła,ul. Kusocińskiego,10A,64-920
19,Piła,ul. Marii Konopnickiej,7,64-920
20,Piła,ul. Żeleńskiego,15,64-920
21,Oświęcim,Rynek Główny,8,32-600
22,Piła,ul. św. Jana Bosko,2,64-920
23,Piła,ul. Reja,11,64-920
24,Piła,ul. Kraszewskiego,2,64-920
25,Piła,ul. Jana Brzechwy,10,64-920
26,Piła,ul. Grabowa,20,64-920
27,Piła,ul. Nad Gwdą,26,64-920
28,Piła,ul. Trentowskiego,3,64-920
29,Piła,ul. Królowej Jadwigi,20,64-920
30,Piła,ul. Śniadeckich,3A,64-920
31,Chojnice,ul. Dworcowa,1,89-620
32,Nowe Warpno,ul. Kościuszki,47,72-022
33,Łapy,ul. Polna,9,18-100
34,Przeciszów,ul. Szkolna,8,32-641
35,Kielce,ul. Cypriana Kamila Norwida,5,25-410
36,Kielce,ul. Sowia,1b,25-648
37,Kielce,ul. Barwinek,33,25-150
38,Kielce,ul. Kujawska,21,25-342
39,Kielce,ul. Jana Nowaka-Jeziorańskiego,67,25-430
40,Kielce,ul. Bukowa,8,25-542
41,Zamość,ul. Jana Kilińskiego,15,22-400
42,Kielce,ul. Władysława Orkana,32,25-547
43,Gliwice,ul. Kozielska,73,44-121
44,Kielce,ul. Kalcytowa,15,25-705
45,Kielce,ul. Nowy Świat,34,25-522
46,Kielce,ul. Malików,3,25-639
47,Kielce,os. Na Stoku,98,25-437
48,Bielawa,ul. Klonowa,4,58-260
49,Grodków,ul. Sienkiewicza,29,49-200
50,Brzeg,ul. Armii Krajowej,7,49-300
51,Bielsk Podlaski,ul. 11 Listopada,6,17-100
52,Zamość,ul. Prymasa Stefana Wyszyńskiego,32,22-400
53,Zamość,ul. Wąska,7,22-400
54,Kielce,ul. Krakowska,15a,25-029
55,Kielce,ul. Króla Bolesława Chrobrego,110,25-607
56,Kielce,ul. Fabryczna,6,25-818
57,Kielce,ul. Fryderyka Chopina,3,25-356
58,Kielce,ul. Wojewódzka,12b,25-538
59,Kielce,ul. Piekoszowska,42,25-735
60,Kielce,ul. Marszałkowska,11a,25-533
61,Kielce,ul. Różana,12,25-729
62,Mikstat,ul. Estkowskiego,11,63-510
63,Gliwice,ul. Brzozowa,50,44-100
64,Kielce,ul. Księżniczki Dąbrówki,38,25-631
65,Kielce,ul. Jana Kasprowicza,5,25-411
66,Brzeg,ul. 1 Maja,7,49-305
67,Przeciszów,ul. Podlesie,90,32-641
68,Kielce,ul. Romualda,6,25-322
69,Kielce,ul. Sylwestra Kowalczewskiego,9,25-635
70,Kielce,ul. Władysława Orkana,13,25-547
71,Kielce,ul. Tujowa,2,25-209
72,Kielce,ul. Barwinek,31,25-150
